Detachment,Games,Win %
Space Wolves - Champions Of Fenris,117,35.90%
Space Wolves - Firestorm Assault Force,29,27.59%
Space Wolves - Gladius Task Force,1057,53.26%
Space Wolves - Ironstorm Spearhead,86,45.35%
Space Wolves - Librarius Conclave,5,40.00%
Space Wolves - Saga of the Beastslayer,5168,50.89%
Space Wolves - Saga of the Bold,478,42.68%
Space Wolves - Saga of the Hunter,539,41.19%
Space Wolves - Stormlance Task Force,1017,54.38%
Space Wolves - Vanguard Spearhead,56,42.86%
T'au - Auxiliary Cadre,918,50.00%
T'au - Experimental Prototype Cadre,1982,39.05%
T'au - Kauyon,1919,44.14%
