Mission,Deployment,Games,Win %,VP,Faction
Scorched Earth,Sweeping Engagement,22,40.91%,80.00,Aeldari
Scorched Earth,Tipping Point,477,51.57%,76.70,Aeldari
Supply Drop,Crucible Of Battle,21,38.10%,61.88,Aeldari
Supply Drop,Dawn Of War,25,64.00%,64.88,Aeldari
Supply Drop,Hammer And Anvil,297,49.83%,66.73,Aeldari
Supply Drop,Search And Destroy,23,52.17%,63.67,Aeldari
Supply Drop,Sweeping Engagement,160,48.75%,63.91,Aeldari
Supply Drop,Tipping Point,335,48.66%,68.97,Aeldari
Take And Hold,Crucible Of Battle,57,56.14%,73.72,Aeldari
Take And Hold,Dawn Of War,71,50.70%,72.75,Aeldari
Take And Hold,Hammer And Anvil,488,48.98%,75.45,Aeldari
Take And Hold,Search And Destroy,781,53.78%,81.17,Aeldari
Take And Hold,Sweeping Engagement,43,62.79%,80.48,Aeldari
Take And Hold,Tipping Point,839,52.44%,76.78,Aeldari
Terraform,Crucible Of Battle,691,53.26%,78.60,Aeldari
Terraform,Dawn Of War,38,50.00%,77.68,Aeldari
Terraform,Hammer And Anvil,28,46.43%,66.38,Aeldari
Terraform,Search And Destroy,37,56.76%,72.38,Aeldari
Terraform,Sweeping Engagement,489,51.53%,82.15,Aeldari
Terraform,Tipping Point,46,41.30%,74.74,Aeldari
The Ritual,Crucible Of Battle,11,63.64%,62.57,Aeldari
The Ritual,Dawn Of War,10,80.00%,59.38,Aeldari
Burden Of Trust,Crucible Of Battle,34,50.00%,70.65,Astra Militarum
Burden Of Trust,Dawn Of War,37,45.95%,56.53,Astra Militarum
Burden Of Trust,Hammer And Anvil,34,47.06%,64.81,Astra Militarum
Burden Of Trust,Search And Destroy,28,46.43%,55.69,Astra Militarum
Burden Of Trust,Sweeping Engagement,22,40.91%,73.33,Astra Militarum
Burden Of Trust,Tipping Point,22,36.36%,58.38,Astra Militarum
Hidden Supplies,Crucible Of Battle,303,50.17%,71.17,Astra Militarum
Hidden Supplies,Dawn Of War,27,51.85%,66.29,Astra Militarum
Hidden Supplies,Hammer And Anvil,321,42.99%,68.82,Astra Militarum
Hidden Supplies,Search And Destroy,502,42.83%,74.49,Astra Militarum
Hidden Supplies,Sweeping Engagement,17,52.94%,55.33,Astra Militarum
Hidden Supplies,Tipping Point,32,46.88%,76.73,Astra Militarum
Linchpin,Crucible Of Battle,134,44.03%,74.22,Astra Militarum
Linchpin,Dawn Of War,350,47.71%,68.94,Astra Militarum
Linchpin,Hammer And Anvil,82,36.59%,62.77,Astra Militarum
Linchpin,Search And Destroy,628,46.50%,73.95,Astra Militarum
Linchpin,Sweeping Engagement,41,46.34%,70.53,Astra Militarum
Linchpin,Tipping Point,648,49.23%,71.61,Astra Militarum
Purge The Foe,Crucible Of Battle,768,49.48%,79.58,Astra Militarum
Purge The Foe,Dawn Of War,243,43.21%,77.87,Astra Militarum
Purge The Foe,Hammer And Anvil,485,43.71%,75.24,Astra Militarum
Purge The Foe,Search And Destroy,52,40.38%,84.90,Astra Militarum
Purge The Foe,Sweeping Engagement,40,37.50%,71.53,Astra Militarum
Purge The Foe,Tipping Point,36,61.11%,78.95,Astra Militarum
Scorched Earth,Crucible Of Battle,478,44.77%,74.47,Astra Militarum
Scorched Earth,Dawn Of War,36,47.22%,74.41,Astra Militarum
Scorched Earth,Hammer And Anvil,25,32.00%,69.50,Astra Militarum
Scorched Earth,Search And Destroy,435,43.68%,77.49,Astra Militarum
Scorched Earth,Sweeping Engagement,33,45.45%,74.53,Astra Militarum
Scorched Earth,Tipping Point,510,48.82%,76.31,Astra Militarum
Supply Drop,Crucible Of Battle,19,31.58%,62.83,Astra Militarum
Supply Drop,Dawn Of War,29,44.83%,58.69,Astra Militarum
Supply Drop,Hammer And Anvil,305,45.25%,63.71,Astra Militarum
Supply Drop,Search And Destroy,28,42.86%,65.83,Astra Militarum
Supply Drop,Sweeping Engagement,189,38.62%,65.30,Astra Militarum
Supply Drop,Tipping Point,380,47.89%,66.91,Astra Militarum
Take And Hold,Crucible Of Battle,71,46.48%,79.97,Astra Militarum
Take And Hold,Dawn Of War,112,40.18%,66.38,Astra Militarum
