Mission,Deployment,Games,Win %,VP,Faction
Take And Hold,Sweeping Engagement,12,66.67%,75.00,Genestealer Cults
Take And Hold,Tipping Point,328,54.88%,80.46,Genestealer Cults
Terraform,Crucible Of Battle,279,57.35%,79.68,Genestealer Cults
Terraform,Dawn Of War,14,64.29%,76.44,Genestealer Cults
Terraform,Hammer And Anvil,10,70.00%,64.29,Genestealer Cults
Terraform,Search And Destroy,7,42.86%,91.67,Genestealer Cults
Terraform,Sweeping Engagement,180,50.00%,78.53,Genestealer Cults
Terraform,Tipping Point,13,23.08%,78.00,Genestealer Cults
The Ritual,Crucible Of Battle,4,50.00%,71.50,Genestealer Cults
The Ritual,Dawn Of War,6,66.67%,74.75,Genestealer Cults
Burden Of Trust,Crucible Of Battle,24,45.83%,67.27,Grey Knights
Burden Of Trust,Dawn Of War,25,44.00%,62.36,Grey Knights
Burden Of Trust,Hammer And Anvil,14,35.71%,70.40,Grey Knights
Burden Of Trust,Search And Destroy,20,40.00%,70.38,Grey Knights
Burden Of Trust,Sweeping Engagement,22,54.55%,71.83,Grey Knights
Burden Of Trust,Tipping Point,17,58.82%,68.00,Grey Knights
Hidden Supplies,Crucible Of Battle,213,43.66%,74.67,Grey Knights
Hidden Supplies,Dawn Of War,12,16.67%,41.00,Grey Knights
Hidden Supplies,Hammer And Anvil,192,44.79%,74.64,Grey Knights
Hidden Supplies,Search And Destroy,337,49.26%,75.31,Grey Knights
Hidden Supplies,Sweeping Engagement,6,50.00%,71.33,Grey Knights
Hidden Supplies,Tipping Point,14,42.86%,63.50,Grey Knights
Linchpin,Crucible Of Battle,98,52.04%,74.14,Grey Knights
Linchpin,Dawn Of War,205,52.68%,69.31,Grey Knights
Linchpin,Hammer And Anvil,36,44.44%,60.19,Grey Knights
Linchpin,Search And Destroy,423,48.70%,72.74,Grey Knights
Linchpin,Sweeping Engagement,13,46.15%,67.67,Grey Knights
Linchpin,Tipping Point,416,45.43%,74.15,Grey Knights
Purge The Foe,Crucible Of Battle,472,55.72%,80.24,Grey Knights
Purge The Foe,Dawn Of War,145,48.28%,75.60,Grey Knights
Purge The Foe,Hammer And Anvil,282,54.96%,78.25,Grey Knights
Purge The Foe,Search And Destroy,27,40.74%,78.91,Grey Knights
Purge The Foe,Sweeping Engagement,25,32.00%,85.00,Grey Knights
Purge The Foe,Tipping Point,28,53.57%,83.13,Grey Knights
Scorched Earth,Crucible Of Battle,285,48.77%,77.29,Grey Knights
Scorched Earth,Dawn Of War,23,56.52%,69.38,Grey Knights
Scorched Earth,Hammer And Anvil,24,45.83%,70.45,Grey Knights
Scorched Earth,Search And Destroy,246,50.41%,74.46,Grey Knights
Scorched Earth,Sweeping Engagement,19,47.37%,80.44,Grey Knights
Scorched Earth,Tipping Point,315,49.52%,76.88,Grey Knights
Supply Drop,Crucible Of Battle,25,64.00%,69.88,Grey Knights
Supply Drop,Dawn Of War,16,25.00%,51.50,Grey Knights
Supply Drop,Hammer And Anvil,208,43.75%,65.36,Grey Knights
Supply Drop,Search And Destroy,18,72.22%,68.62,Grey Knights
Supply Drop,Sweeping Engagement,105,49.52%,62.48,Grey Knights
Supply Drop,Tipping Point,203,49.26%,67.68,Grey Knights
Take And Hold,Crucible Of Battle,38,55.26%,81.71,Grey Knights
Take And Hold,Dawn Of War,64,56.25%,72.25,Grey Knights
Take And Hold,Hammer And Anvil,354,51.41%,76.70,Grey Knights
Take And Hold,Search And Destroy,477,48.43%,79.12,Grey Knights
Take And Hold,Sweeping Engagement,25,40.00%,77.50,Grey Knights
Take And Hold,Tipping Point,543,49.36%,75.29,Grey Knights
Terraform,Crucible Of Battle,428,45.56%,75.96,Grey Knights
Terraform,Dawn Of War,36,36.11%,58.77,Grey Knights
Terraform,Hammer And Anvil,18,55.56%,69.60,Grey Knights
Terraform,Search And Destroy,28,46.43%,74.08,Grey Knights
Terraform,Sweeping Engagement,311,46.62%,77.77,Grey Knights
Terraform,Tipping Point,20,30.00%,80.00,Grey Knights
The Ritual,Crucible Of Battle,6,66.67%,72.25,Grey Knights
The Ritual,Dawn Of War,7,57.14%,52.00,Grey Knights
Burden Of Trust,Crucible Of Battle,1,0.00%,0.00,Imperial Agents
Burden Of Trust,Dawn Of War,5,20.00%,72.00,Imperial Agents
Burden Of Trust,Search And Destroy,2,0.00%,0.00,Imperial Agents
Burden Of Trust,Sweeping Engagement,5,40.00%,64.00,Imperial Agents
Burden Of Trust,Tipping Point,3,33.33%,80.00,Imperial Agents
Hidden Supplies,Crucible Of Battle,17,17.65%,75.33,Imperial Agents
Hidden Supplies,Dawn Of War,1,0.00%,0.00,Imperial Agents
Hidden Supplies,Hammer And Anvil,13,46.15%,72.50,Imperial Agents
Hidden Supplies,Search And Destroy,37,48.65%,83.67,Imperial Agents
Linchpin,Crucible Of Battle,15,40.00%,77.17,Imperial Agents
Linchpin,Dawn Of War,23,56.52%,60.69,Imperial Agents
Linchpin,Hammer And Anvil,6,16.67%,75.00,Imperial Agents
Linchpin,Search And Destroy,34,58.82%,79.75,Imperial Agents
Linchpin,Sweeping Engagement,2,50.00%,27.00,Imperial Agents
Linchpin,Tipping Point,38,63.16%,73.58,Imperial Agents
Purge The Foe,Crucible Of Battle,47,31.91%,86.27,Imperial Agents
Purge The Foe,Dawn Of War,7,28.57%,57.00,Imperial Agents
Purge The Foe,Hammer And Anvil,19,36.84%,74.71,Imperial Agents
Purge The Foe,Search And Destroy,1,0.00%,0.00,Imperial Agents
Purge The Foe,Tipping Point,6,50.00%,85.67,Imperial Agents
Scorched Earth,Crucible Of Battle,19,36.84%,84.00,Imperial Agents
Scorched Earth,Dawn Of War,1,0.00%,0.00,Imperial Agents
Scorched Earth,Hammer And Anvil,3,100.00%,90.00,Imperial Agents
Scorched Earth,Search And Destroy,32,40.63%,73.54,Imperial Agents
Scorched Earth,Sweeping Engagement,1,100.00%,90.00,Imperial Agents
Scorched Earth,Tipping Point,23,34.78%,78.13,Imperial Agents
Supply Drop,Crucible Of Battle,1,100.00%,29.00,Imperial Agents
Supply Drop,Dawn Of War,1,0.00%,0.00,Imperial Agents
Supply Drop,Hammer And Anvil,13,46.15%,56.67,Imperial Agents
Supply Drop,Sweeping Engagement,3,33.33%,51.00,Imperial Agents
Supply Drop,Tipping Point,10,40.00%,66.25,Imperial Agents
Take And Hold,Crucible Of Battle,6,50.00%,80.67,Imperial Agents
Take And Hold,Dawn Of War,8,50.00%,68.75,Imperial Agents
Take And Hold,Hammer And Anvil,25,44.00%,80.64,Imperial Agents
Take And Hold,Search And Destroy,49,40.82%,72.90,Imperial Agents
Take And Hold,Sweeping Engagement,6,66.67%,83.50,Imperial Agents
Take And Hold,Tipping Point,45,44.44%,78.40,Imperial Agents
Terraform,Crucible Of Battle,39,48.72%,75.32,Imperial Agents
Terraform,Dawn Of War,1,0.00%,0.00,Imperial Agents
Terraform,Search And Destroy,2,50.00%,85.00,Imperial Agents
Terraform,Sweeping Engagement,32,43.75%,79.14,Imperial Agents
Terraform,Tipping Point,1,100.00%,81.00,Imperial Agents
The Ritual,Search And Destroy,2,0.00%,0.00,Imperial Agents
The Ritual,Sweeping Engagement,1,0.00%,0.00,Imperial Agents
Unexploded Ordnance,Hammer And Anvil,2,50.00%,34.00,Imperial Agents
Unexploded Ordnance,Search And Destroy,1,0.00%,0.00,Imperial Agents
Unexploded Ordnance,Sweeping Engagement,1,0.00%,0.00,Imperial Agents
Burden Of Trust,Crucible Of Battle,17,76.47%,67.54,Imperial Knights
Burden Of Trust,Dawn Of War,24,50.00%,62.25,Imperial Knights
Burden Of Trust,Hammer And Anvil,22,63.64%,71.79,Imperial Knights
Burden Of Trust,Search And Destroy,22,50.00%,68.91,Imperial Knights
Burden Of Trust,Sweeping Engagement,14,57.14%,86.38,Imperial Knights
Burden Of Trust,Tipping Point,32,71.88%,66.35,Imperial Knights
Hidden Supplies,Crucible Of Battle,353,58.07%,75.90,Imperial Knights
Hidden Supplies,Dawn Of War,16,50.00%,78.63,Imperial Knights
Hidden Supplies,Hammer And Anvil,312,59.62%,78.33,Imperial Knights
Hidden Supplies,Search And Destroy,676,53.11%,77.12,Imperial Knights
Hidden Supplies,Sweeping Engagement,12,41.67%,59.00,Imperial Knights
Hidden Supplies,Tipping Point,20,70.00%,67.36,Imperial Knights
Linchpin,Crucible Of Battle,132,51.52%,75.63,Imperial Knights
Linchpin,Dawn Of War,306,62.42%,71.50,Imperial Knights
Linchpin,Hammer And Anvil,42,54.76%,71.13,Imperial Knights
Linchpin,Search And Destroy,679,52.72%,76.17,Imperial Knights
Linchpin,Sweeping Engagement,27,59.26%,72.50,Imperial Knights
Linchpin,Tipping Point,644,56.37%,72.85,Imperial Knights
Purge The Foe,Crucible Of Battle,847,64.46%,84.63,Imperial Knights
Purge The Foe,Dawn Of War,178,60.11%,77.41,Imperial Knights
Purge The Foe,Hammer And Anvil,429,58.74%,81.42,Imperial Knights
Purge The Foe,Search And Destroy,31,51.61%,74.69,Imperial Knights
Purge The Foe,Sweeping Engagement,18,66.67%,72.08,Imperial Knights
Purge The Foe,Tipping Point,30,53.33%,72.06,Imperial Knights
Scorched Earth,Crucible Of Battle,459,57.95%,79.61,Imperial Knights
Scorched Earth,Dawn Of War,25,56.00%,77.21,Imperial Knights
Scorched Earth,Hammer And Anvil,29,72.41%,73.62,Imperial Knights
Scorched Earth,Search And Destroy,445,55.73%,78.82,Imperial Knights
Scorched Earth,Sweeping Engagement,16,75.00%,75.17,Imperial Knights
Scorched Earth,Tipping Point,508,53.15%,79.15,Imperial Knights
Supply Drop,Crucible Of Battle,14,64.29%,76.44,Imperial Knights
Supply Drop,Dawn Of War,11,72.73%,63.25,Imperial Knights
Supply Drop,Hammer And Anvil,337,58.16%,69.72,Imperial Knights
Supply Drop,Search And Destroy,25,40.00%,64.30,Imperial Knights
Supply Drop,Sweeping Engagement,130,68.46%,71.16,Imperial Knights
Supply Drop,Tipping Point,365,56.44%,71.01,Imperial Knights
Take And Hold,Crucible Of Battle,70,55.71%,73.49,Imperial Knights
Take And Hold,Dawn Of War,59,64.41%,77.68,Imperial Knights
Take And Hold,Hammer And Anvil,526,60.08%,76.56,Imperial Knights
Take And Hold,Search And Destroy,824,52.31%,82.11,Imperial Knights
Take And Hold,Sweeping Engagement,36,30.56%,73.27,Imperial Knights
Take And Hold,Tipping Point,877,52.00%,78.18,Imperial Knights
Terraform,Crucible Of Battle,761,51.64%,80.09,Imperial Knights
Terraform,Dawn Of War,32,68.75%,71.45,Imperial Knights
Terraform,Hammer And Anvil,31,58.06%,76.89,Imperial Knights
Terraform,Search And Destroy,32,59.38%,77.63,Imperial Knights
Terraform,Sweeping Engagement,503,53.88%,80.46,Imperial Knights
Terraform,Tipping Point,32,50.00%,76.19,Imperial Knights
The Ritual,Crucible Of Battle,6,66.67%,80.25,Imperial Knights
The Ritual,Dawn Of War,10,30.00%,78.00,Imperial Knights
Burden Of Trust,Crucible Of Battle,21,42.86%,61.22,Leagues Of Votann
Burden Of Trust,Dawn Of War,27,55.56%,67.93,Leagues Of Votann
Burden Of Trust,Hammer And Anvil,14,57.14%,65.88,Leagues Of Votann
Burden Of Trust,Search And Destroy,14,50.00%,58.86,Leagues Of Votann
Burden Of Trust,Sweeping Engagement,15,80.00%,69.92,Leagues Of Votann
Burden Of Trust,Tipping Point,8,62.50%,79.60,Leagues Of Votann
Hidden Supplies,Crucible Of Battle,221,51.13%,73.66,Leagues Of Votann
Hidden Supplies,Dawn Of War,11,81.82%,59.22,Leagues Of Votann
Hidden Supplies,Hammer And Anvil,263,52.47%,76.21,Leagues Of Votann
Hidden Supplies,Search And Destroy,398,47.99%,74.27,Leagues Of Votann
Hidden Supplies,Sweeping Engagement,9,44.44%,63.75,Leagues Of Votann
Hidden Supplies,Tipping Point,29,48.28%,75.79,Leagues Of Votann
Linchpin,Crucible Of Battle,97,48.45%,72.89,Leagues Of Votann
Linchpin,Dawn Of War,208,49.04%,72.14,Leagues Of Votann
Linchpin,Hammer And Anvil,30,50.00%,69.53,Leagues Of Votann
Linchpin,Search And Destroy,453,49.67%,74.04,Leagues Of Votann
Linchpin,Sweeping Engagement,26,42.31%,72.36,Leagues Of Votann
Linchpin,Tipping Point,503,49.70%,72.78,Leagues Of Votann
Purge The Foe,Crucible Of Battle,481,46.15%,79.64,Leagues Of Votann
Purge The Foe,Dawn Of War,146,57.53%,78.36,Leagues Of Votann
Purge The Foe,Hammer And Anvil,295,54.92%,75.65,Leagues Of Votann
Purge The Foe,Search And Destroy,30,76.67%,79.13,Leagues Of Votann
Purge The Foe,Sweeping Engagement,22,54.55%,78.17,Leagues Of Votann
Purge The Foe,Tipping Point,30,56.67%,83.59,Leagues Of Votann
Scorched Earth,Crucible Of Battle,312,48.08%,79.65,Leagues Of Votann
Scorched Earth,Dawn Of War,17,58.82%,72.10,Leagues Of Votann
Scorched Earth,Hammer And Anvil,17,41.18%,71.14,Leagues Of Votann
Scorched Earth,Search And Destroy,320,52.50%,79.07,Leagues Of Votann
Scorched Earth,Sweeping Engagement,15,73.33%,72.55,Leagues Of Votann
Scorched Earth,Tipping Point,347,48.99%,77.12,Leagues Of Votann
Supply Drop,Crucible Of Battle,21,42.86%,71.56,Leagues Of Votann
Supply Drop,Dawn Of War,18,61.11%,59.00,Leagues Of Votann
Supply Drop,Hammer And Anvil,209,50.72%,67.89,Leagues Of Votann
Supply Drop,Search And Destroy,16,37.50%,62.33,Leagues Of Votann
Supply Drop,Sweeping Engagement,135,43.70%,68.44,Leagues Of Votann
Supply Drop,Tipping Point,180,49.44%,65.27,Leagues Of Votann
Take And Hold,Crucible Of Battle,61,45.90%,74.11,Leagues Of Votann
Take And Hold,Dawn Of War,56,48.21%,68.85,Leagues Of Votann
Take And Hold,Hammer And Anvil,380,47.63%,75.45,Leagues Of Votann
Take And Hold,Search And Destroy,536,48.13%,79.71,Leagues Of Votann
Take And Hold,Sweeping Engagement,27,37.04%,75.80,Leagues Of Votann
Take And Hold,Tipping Point,621,49.28%,77.40,Leagues Of Votann
Terraform,Crucible Of Battle,518,50.39%,77.46,Leagues Of Votann
Terraform,Dawn Of War,26,50.00%,68.15,Leagues Of Votann
Terraform,Hammer And Anvil,22,45.45%,74.20,Leagues Of Votann
Terraform,Search And Destroy,27,48.15%,76.23,Leagues Of Votann
Terraform,Sweeping Engagement,287,49.48%,77.88,Leagues Of Votann
Terraform,Tipping Point,27,51.85%,65.14,Leagues Of Votann
The Ritual,Crucible Of Battle,7,42.86%,67.33,Leagues Of Votann
The Ritual,Dawn Of War,4,25.00%,78.00,Leagues Of Votann
Burden Of Trust,Crucible Of Battle,47,38.30%,54.39,Necrons
Burden Of Trust,Dawn Of War,61,57.38%,59.03,Necrons
Burden Of Trust,Hammer And Anvil,44,52.27%,64.87,Necrons
Burden Of Trust,Search And Destroy,32,62.50%,62.25,Necrons
Burden Of Trust,Sweeping Engagement,24,50.00%,63.50,Necrons
Burden Of Trust,Tipping Point,44,56.82%,65.04,Necrons
Hidden Supplies,Crucible Of Battle,426,46.71%,73.66,Necrons
Hidden Supplies,Dawn Of War,43,55.81%,62.96,Necrons
Hidden Supplies,Hammer And Anvil,390,47.44%,70.42,Necrons
Hidden Supplies,Search And Destroy,780,48.08%,76.95,Necrons
Hidden Supplies,Sweeping Engagement,22,40.91%,74.22,Necrons
Hidden Supplies,Tipping Point,37,40.54%,69.93,Necrons
Linchpin,Crucible Of Battle,211,39.81%,77.18,Necrons
Linchpin,Dawn Of War,495,52.93%,70.43,Necrons
Linchpin,Hammer And Anvil,81,49.38%,60.35,Necrons
Linchpin,Search And Destroy,782,48.34%,72.60,Necrons
Linchpin,Sweeping Engagement,57,49.12%,56.89,Necrons
Linchpin,Tipping Point,839,49.34%,74.11,Necrons
Purge The Foe,Crucible Of Battle,1081,49.31%,81.69,Necrons
Purge The Foe,Dawn Of War,313,53.35%,72.08,Necrons
Purge The Foe,Hammer And Anvil,618,50.65%,77.13,Necrons
Purge The Foe,Search And Destroy,67,46.27%,75.74,Necrons
Purge The Foe,Sweeping Engagement,48,66.67%,75.66,Necrons
Purge The Foe,Tipping Point,53,45.28%,74.83,Necrons
Scorched Earth,Crucible Of Battle,590,48.64%,76.29,Necrons
Scorched Earth,Dawn Of War,49,44.90%,68.05,Necrons
Scorched Earth,Hammer And Anvil,38,44.74%,65.82,Necrons
Scorched Earth,Search And Destroy,515,51.07%,74.89,Necrons
Scorched Earth,Sweeping Engagement,38,42.11%,69.38,Necrons
Scorched Earth,Tipping Point,603,48.92%,75.64,Necrons
Supply Drop,Crucible Of Battle,42,52.38%,60.73,Necrons
Supply Drop,Dawn Of War,43,62.79%,58.48,Necrons
Supply Drop,Hammer And Anvil,419,55.13%,66.18,Necrons
Supply Drop,Search And Destroy,33,57.58%,60.53,Necrons
Supply Drop,Sweeping Engagement,253,54.15%,68.54,Necrons
Supply Drop,Tipping Point,432,48.15%,67.56,Necrons
Take And Hold,Crucible Of Battle,101,43.56%,72.70,Necrons
Take And Hold,Dawn Of War,168,54.17%,69.40,Necrons
Take And Hold,Hammer And Anvil,685,47.01%,74.84,Necrons
Take And Hold,Search And Destroy,1012,49.31%,79.26,Necrons
Take And Hold,Sweeping Engagement,66,59.09%,73.00,Necrons
Take And Hold,Tipping Point,1124,48.40%,75.33,Necrons
Terraform,Crucible Of Battle,905,48.29%,77.22,Necrons
Terraform,Dawn Of War,70,40.00%,77.14,Necrons
Terraform,Hammer And Anvil,52,46.15%,67.38,Necrons
Terraform,Search And Destroy,54,48.15%,70.27,Necrons
Terraform,Sweeping Engagement,675,48.74%,80.11,Necrons
Terraform,Tipping Point,55,52.73%,72.90,Necrons
The Ritual,Crucible Of Battle,20,45.00%,71.44,Necrons
The Ritual,Dawn Of War,16,37.50%,73.00,Necrons
Burden Of Trust,Crucible Of Battle,26,61.54%,63.56,Orks
Burden Of Trust,Dawn Of War,42,57.14%,54.54,Orks
Burden Of Trust,Hammer And Anvil,32,34.38%,67.55,Orks
Burden Of Trust,Search And Destroy,20,45.00%,54.00,Orks
Burden Of Trust,Sweeping Engagement,8,25.00%,76.00,Orks
Burden Of Trust,Tipping Point,26,38.46%,59.70,Orks
Hidden Supplies,Crucible Of Battle,250,44.80%,74.69,Orks
Hidden Supplies,Dawn Of War,25,60.00%,61.00,Orks
Hidden Supplies,Hammer And Anvil,242,45.87%,74.19,Orks
Hidden Supplies,Search And Destroy,465,51.18%,77.77,Orks
Hidden Supplies,Sweeping Engagement,13,61.54%,76.88,Orks
Hidden Supplies,Tipping Point,20,45.00%,62.67,Orks
Linchpin,Crucible Of Battle,114,49.12%,73.38,Orks
Linchpin,Dawn Of War,290,48.97%,72.41,Orks
Linchpin,Hammer And Anvil,40,50.00%,68.60,Orks
Linchpin,Search And Destroy,512,43.55%,73.69,Orks
Linchpin,Sweeping Engagement,25,48.00%,68.92,Orks
Linchpin,Tipping Point,505,46.34%,71.19,Orks
Purge The Foe,Crucible Of Battle,598,42.47%,77.65,Orks
Purge The Foe,Dawn Of War,211,39.81%,72.61,Orks
Purge The Foe,Hammer And Anvil,392,45.92%,73.83,Orks
Purge The Foe,Search And Destroy,43,37.21%,72.06,Orks
Purge The Foe,Sweeping Engagement,33,30.30%,76.80,Orks
Purge The Foe,Tipping Point,56,50.00%,66.54,Orks
Scorched Earth,Crucible Of Battle,387,47.29%,74.15,Orks
Scorched Earth,Dawn Of War,39,41.03%,63.38,Orks
Scorched Earth,Hammer And Anvil,32,31.25%,77.40,Orks
Scorched Earth,Search And Destroy,338,47.63%,75.57,Orks
Scorched Earth,Sweeping Engagement,19,36.84%,60.71,Orks
Scorched Earth,Tipping Point,373,42.63%,76.82,Orks
Supply Drop,Crucible Of Battle,22,36.36%,62.75,Orks
Supply Drop,Dawn Of War,20,45.00%,60.33,Orks
Supply Drop,Hammer And Anvil,260,45.77%,65.88,Orks
Supply Drop,Search And Destroy,32,34.38%,70.27,Orks
Supply Drop,Sweeping Engagement,140,47.14%,70.58,Orks
Supply Drop,Tipping Point,279,42.65%,65.73,Orks
Take And Hold,Crucible Of Battle,74,52.70%,75.59,Orks
Take And Hold,Dawn Of War,98,47.96%,64.34,Orks
Take And Hold,Hammer And Anvil,473,46.51%,73.28,Orks
Take And Hold,Search And Destroy,620,48.71%,78.12,Orks
Take And Hold,Sweeping Engagement,46,47.83%,64.05,Orks
Take And Hold,Tipping Point,789,47.53%,76.38,Orks
Terraform,Crucible Of Battle,528,46.02%,74.05,Orks
Terraform,Dawn Of War,34,47.06%,64.81,Orks
Terraform,Hammer And Anvil,29,37.93%,72.64,Orks
Terraform,Search And Destroy,44,56.82%,75.96,Orks
Terraform,Sweeping Engagement,395,46.84%,79.89,Orks
Terraform,Tipping Point,25,48.00%,80.92,Orks
The Ritual,Crucible Of Battle,18,55.56%,68.70,Orks
The Ritual,Dawn Of War,17,52.94%,78.11,Orks
Burden Of Trust,Crucible Of Battle,59,54.24%,63.44,Space Marines
Burden Of Trust,Dawn Of War,85,52.94%,62.33,Space Marines
Burden Of Trust,Hammer And Anvil,46,45.65%,64.90,Space Marines
Burden Of Trust,Search And Destroy,47,36.17%,64.35,Space Marines
Burden Of Trust,Sweeping Engagement,61,36.07%,58.95,Space Marines
Burden Of Trust,Tipping Point,40,35.00%,66.07,Space Marines
Hidden Supplies,Crucible Of Battle,544,46.51%,71.62,Space Marines
Hidden Supplies,Dawn Of War,50,48.00%,65.13,Space Marines
Hidden Supplies,Hammer And Anvil,475,43.16%,72.63,Space Marines
Hidden Supplies,Search And Destroy,890,44.83%,74.26,Space Marines
Hidden Supplies,Sweeping Engagement,34,52.94%,69.67,Space Marines
Hidden Supplies,Tipping Point,49,48.98%,67.92,Space Marines
Linchpin,Crucible Of Battle,254,46.85%,72.28,Space Marines
Linchpin,Dawn Of War,644,45.96%,67.48,Space Marines
Linchpin,Hammer And Anvil,87,51.72%,65.62,Space Marines
Linchpin,Search And Destroy,1048,49.43%,71.21,Space Marines
Linchpin,Sweeping Engagement,72,48.61%,64.74,Space Marines
Linchpin,Tipping Point,1017,41.99%,70.44,Space Marines
Purge The Foe,Crucible Of Battle,1255,45.18%,79.80,Space Marines
Purge The Foe,Dawn Of War,469,50.11%,73.94,Space Marines
Purge The Foe,Hammer And Anvil,845,45.21%,75.35,Space Marines
Purge The Foe,Search And Destroy,75,45.33%,73.32,Space Marines
Purge The Foe,Sweeping Engagement,74,43.24%,64.81,Space Marines
Purge The Foe,Tipping Point,101,57.43%,74.98,Space Marines
Scorched Earth,Crucible Of Battle,697,46.48%,74.49,Space Marines
Scorched Earth,Dawn Of War,66,48.48%,70.66,Space Marines
Scorched Earth,Hammer And Anvil,49,40.82%,70.05,Space Marines
Scorched Earth,Search And Destroy,620,43.71%,73.23,Space Marines
Scorched Earth,Sweeping Engagement,49,46.94%,79.13,Space Marines
Scorched Earth,Tipping Point,784,44.64%,76.83,Space Marines
Supply Drop,Crucible Of Battle,59,40.68%,67.33,Space Marines
Supply Drop,Dawn Of War,61,52.46%,61.38,Space Marines
Supply Drop,Hammer And Anvil,525,43.43%,63.79,Space Marines
Supply Drop,Search And Destroy,47,61.70%,59.48,Space Marines
Supply Drop,Sweeping Engagement,311,49.84%,69.32,Space Marines
Supply Drop,Tipping Point,545,46.97%,63.79,Space Marines
Take And Hold,Crucible Of Battle,143,45.45%,73.11,Space Marines
Take And Hold,Dawn Of War,238,48.32%,67.53,Space Marines
Take And Hold,Hammer And Anvil,1040,45.00%,72.25,Space Marines
Take And Hold,Search And Destroy,1271,45.55%,77.59,Space Marines
Take And Hold,Sweeping Engagement,99,44.44%,70.07,Space Marines
Take And Hold,Tipping Point,1579,42.94%,73.06,Space Marines
Terraform,Crucible Of Battle,1094,42.96%,75.97,Space Marines
Terraform,Dawn Of War,80,57.50%,72.78,Space Marines
Terraform,Hammer And Anvil,57,50.88%,64.34,Space Marines
Terraform,Search And Destroy,53,41.51%,66.77,Space Marines
Terraform,Sweeping Engagement,781,45.20%,76.13,Space Marines
Terraform,Tipping Point,73,43.84%,74.88,Space Marines
The Ritual,Crucible Of Battle,19,31.58%,67.83,Space Marines
The Ritual,Dawn Of War,26,42.31%,65.18,Space Marines
Burden Of Trust,Crucible Of Battle,20,50.00%,56.00,Space Wolves
Burden Of Trust,Dawn Of War,28,53.57%,54.47,Space Wolves
Burden Of Trust,Hammer And Anvil,21,47.62%,63.20,Space Wolves
Burden Of Trust,Search And Destroy,21,57.14%,71.50,Space Wolves
Burden Of Trust,Sweeping Engagement,23,60.87%,57.50,Space Wolves
Burden Of Trust,Tipping Point,18,44.44%,60.63,Space Wolves
Hidden Supplies,Crucible Of Battle,269,46.84%,70.33,Space Wolves
Hidden Supplies,Dawn Of War,33,51.52%,74.18,Space Wolves
Hidden Supplies,Hammer And Anvil,238,50.84%,75.04,Space Wolves
Hidden Supplies,Search And Destroy,472,44.92%,77.48,Space Wolves
Hidden Supplies,Sweeping Engagement,12,33.33%,64.75,Space Wolves
Hidden Supplies,Tipping Point,17,52.94%,68.22,Space Wolves
Linchpin,Crucible Of Battle,96,48.96%,76.04,Space Wolves
Linchpin,Dawn Of War,292,51.03%,71.49,Space Wolves
Linchpin,Hammer And Anvil,45,51.11%,61.17,Space Wolves
Linchpin,Search And Destroy,527,51.04%,72.88,Space Wolves
Linchpin,Sweeping Engagement,34,44.12%,62.87,Space Wolves
Linchpin,Tipping Point,499,49.70%,71.87,Space Wolves
Purge The Foe,Crucible Of Battle,631,48.02%,80.47,Space Wolves
Purge The Foe,Dawn Of War,224,46.43%,71.78,Space Wolves
Purge The Foe,Hammer And Anvil,385,50.91%,76.95,Space Wolves
Purge The Foe,Search And Destroy,30,50.00%,71.67,Space Wolves
Purge The Foe,Sweeping Engagement,24,58.33%,72.14,Space Wolves
Purge The Foe,Tipping Point,41,56.10%,73.78,Space Wolves
Scorched Earth,Crucible Of Battle,364,53.85%,74.26,Space Wolves
Scorched Earth,Dawn Of War,20,60.00%,76.75,Space Wolves
Scorched Earth,Hammer And Anvil,25,68.00%,76.76,Space Wolves
Scorched Earth,Search And Destroy,351,54.13%,77.69,Space Wolves
Scorched Earth,Sweeping Engagement,11,54.55%,75.00,Space Wolves
Scorched Earth,Tipping Point,383,53.52%,76.34,Space Wolves
Supply Drop,Crucible Of Battle,28,46.43%,58.08,Space Wolves
Supply Drop,Dawn Of War,23,30.43%,57.43,Space Wolves
Supply Drop,Hammer And Anvil,265,59.25%,67.43,Space Wolves
Supply Drop,Search And Destroy,26,50.00%,67.77,Space Wolves
Supply Drop,Sweeping Engagement,157,54.78%,62.01,Space Wolves
Supply Drop,Tipping Point,308,50.65%,67.53,Space Wolves
Take And Hold,Crucible Of Battle,52,57.69%,79.27,Space Wolves
Take And Hold,Dawn Of War,83,60.24%,73.94,Space Wolves
Take And Hold,Hammer And Anvil,457,53.61%,73.07,Space Wolves
Take And Hold,Search And Destroy,583,44.08%,79.32,Space Wolves
Take And Hold,Sweeping Engagement,36,58.33%,73.52,Space Wolves
Take And Hold,Tipping Point,720,51.39%,75.31,Space Wolves
Terraform,Crucible Of Battle,525,51.81%,76.14,Space Wolves
Terraform,Dawn Of War,28,46.43%,68.23,Space Wolves
Terraform,Hammer And Anvil,25,20.00%,64.00,Space Wolves
Terraform,Search And Destroy,25,60.00%,62.53,Space Wolves
Terraform,Sweeping Engagement,366,52.46%,78.55,Space Wolves
Terraform,Tipping Point,33,48.48%,73.25,Space Wolves
The Ritual,Crucible Of Battle,7,57.14%,87.75,Space Wolves
The Ritual,Dawn Of War,11,63.64%,60.43,Space Wolves
Burden Of Trust,Crucible Of Battle,40,47.50%,61.26,T'au
Burden Of Trust,Dawn Of War,38,44.74%,61.24,T'au
Burden Of Trust,Hammer And Anvil,30,50.00%,62.33,T'au
